"Target","Side","Case","Cells","Values","Weights","Topology","Compatibility","Trace","Repeat","ElapsedMs","MinimumMs","MaximumMs","Decisions","Propagations","Backtracks","Contradictions","TraceEvents","RngDraws","AssignmentChecksum"
"stable64","baseline","independent-256-v2-unit-t0","256","2","unit","independent","dense","0","8","0","0","0","256","0","0","0","0","256","3B22F43A"
"stable64","candidate","independent-256-v2-unit-t0","256","2","unit","independent","dense","0","8","16","0","16","256","0","0","0","0","256","3B22F43A"
"stable64","candidate","independent-256-v2-unit-t1","256","2","unit","independent","dense","1","8","16","0","16","256","0","0","0","513","256","3B22F43A"
"stable64","baseline","independent-256-v2-unit-t1","256","2","unit","independent","dense","1","8","0","0","0","256","0","0","0","513","256","3B22F43A"
"stable64","baseline","independent-256-v2-skewed-t0","256","2","skewed","independent","dense","0","8","47","0","16","256","0","0","0","0","256","1E5227BE"
"stable64","candidate","independent-256-v2-skewed-t0","256","2","skewed","independent","dense","0","8","0","0","0","256","0","0","0","0","256","1E5227BE"
"stable64","candidate","independent-256-v2-skewed-t1","256","2","skewed","independent","dense","1","8","0","0","0","256","0","0","0","513","256","1E5227BE"
"stable64","baseline","independent-256-v2-skewed-t1","256","2","skewed","independent","dense","1","8","47","0","16","256","0","0","0","513","256","1E5227BE"
"stable64","baseline","independent-256-v4-unit-t0","256","4","unit","independent","dense","0","8","0","0","0","256","0","0","0","0","256","7FB94FF0"
"stable64","candidate","independent-256-v4-unit-t0","256","4","unit","independent","dense","0","8","15","0","15","256","0","0","0","0","256","7FB94FF0"
"stable64","candidate","independent-256-v4-unit-t1","256","4","unit","independent","dense","1","8","0","0","0","256","0","0","0","1025","256","7FB94FF0"
"stable64","baseline","independent-256-v4-unit-t1","256","4","unit","independent","dense","1","8","15","0","15","256","0","0","0","1025","256","7FB94FF0"
"stable64","baseline","independent-256-v4-skewed-t0","256","4","skewed","independent","dense","0","8","47","0","16","256","0","0","0","0","256","5AA7FFAA"
"stable64","candidate","independent-256-v4-skewed-t0","256","4","skewed","independent","dense","0","8","0","0","0","256","0","0","0","0","256","5AA7FFAA"
"stable64","candidate","independent-256-v4-skewed-t1","256","4","skewed","independent","dense","1","8","0","0","0","256","0","0","0","1025","256","5AA7FFAA"
"stable64","baseline","independent-256-v4-skewed-t1","256","4","skewed","independent","dense","1","8","47","0","16","256","0","0","0","1025","256","5AA7FFAA"
"stable64","baseline","independent-1024-v2-unit-t0","1024","2","unit","independent","dense","0","2","16","0","16","1024","0","0","0","0","1024","2F801D18"
"stable64","candidate","independent-1024-v2-unit-t0","1024","2","unit","independent","dense","0","2","16","0","16","1024","0","0","0","0","1024","2F801D18"
"stable64","candidate","independent-1024-v2-unit-t1","1024","2","unit","independent","dense","1","2","0","0","0","1024","0","0","0","2049","1024","2F801D18"
"stable64","baseline","independent-1024-v2-unit-t1","1024","2","unit","independent","dense","1","2","16","0","16","1024","0","0","0","2049","1024","2F801D18"
"stable64","baseline","independent-1024-v2-skewed-t0","1024","2","skewed","independent","dense","0","2","171","78","93","1024","0","0","0","0","1024","75444F64"
"stable64","candidate","independent-1024-v2-skewed-t0","1024","2","skewed","independent","dense","0","2","0","0","0","1024","0","0","0","0","1024","75444F64"
"stable64","candidate","independent-1024-v2-skewed-t1","1024","2","skewed","independent","dense","1","2","15","0","15","1024","0","0","0","2049","1024","75444F64"
"stable64","baseline","independent-1024-v2-skewed-t1","1024","2","skewed","independent","dense","1","2","172","78","94","1024","0","0","0","2049","1024","75444F64"
"stable64","baseline","independent-1024-v4-unit-t0","1024","4","unit","independent","dense","0","2","16","0","16","1024","0","0","0","0","1024","2182CB57"
"stable64","candidate","independent-1024-v4-unit-t0","1024","4","unit","independent","dense","0","2","0","0","0","1024","0","0","0","0","1024","2182CB57"
"stable64","candidate","independent-1024-v4-unit-t1","1024","4","unit","independent","dense","1","2","0","0","0","1024","0","0","0","4097","1024","2182CB57"
"stable64","baseline","independent-1024-v4-unit-t1","1024","4","unit","independent","dense","1","2","15","0","15","1024","0","0","0","4097","1024","2182CB57"
"stable64","baseline","independent-1024-v4-skewed-t0","1024","4","skewed","independent","dense","0","2","172","78","94","1024","0","0","0","0","1024","322A5BB8"
"stable64","candidate","independent-1024-v4-skewed-t0","1024","4","skewed","independent","dense","0","2","0","0","0","1024","0","0","0","0","1024","322A5BB8"
"stable64","candidate","independent-1024-v4-skewed-t1","1024","4","skewed","independent","dense","1","2","0","0","0","1024","0","0","0","4097","1024","322A5BB8"
"stable64","baseline","independent-1024-v4-skewed-t1","1024","4","skewed","independent","dense","1","2","171","78","93","1024","0","0","0","4097","1024","322A5BB8"
"stable64","baseline","independent-4096-v2-unit-t0","4096","2","unit","independent","dense","0","1","94","94","94","4096","0","0","0","0","4096","3DF242B4"
"stable64","candidate","independent-4096-v2-unit-t0","4096","2","unit","independent","dense","0","1","0","0","0","4096","0","0","0","0","4096","3DF242B4"
"stable64","candidate","independent-4096-v2-unit-t1","4096","2","unit","independent","dense","1","1","0","0","0","4096","0","0","0","8193","4096","3DF242B4"
"stable64","baseline","independent-4096-v2-unit-t1","4096","2","unit","independent","dense","1","1","78","78","78","4096","0","0","0","8193","4096","3DF242B4"
"stable64","baseline","independent-4096-v2-skewed-t0","4096","2","skewed","independent","dense","0","1","1328","1328","1328","4096","0","0","0","0","4096","7E32947B"
"stable64","candidate","independent-4096-v2-skewed-t0","4096","2","skewed","independent","dense","0","1","16","16","16","4096","0","0","0","0","4096","7E32947B"
"stable64","candidate","independent-4096-v2-skewed-t1","4096","2","skewed","independent","dense","1","1","0","0","0","4096","0","0","0","8193","4096","7E32947B"
"stable64","baseline","independent-4096-v2-skewed-t1","4096","2","skewed","independent","dense","1","1","1391","1391","1391","4096","0","0","0","8193","4096","7E32947B"
"stable64","baseline","independent-4096-v4-unit-t0","4096","4","unit","independent","dense","0","1","203","203","203","4096","0","0","0","0","4096","49850E08"
"stable64","candidate","independent-4096-v4-unit-t0","4096","4","unit","independent","dense","0","1","16","16","16","4096","0","0","0","0","4096","49850E08"
"stable64","candidate","independent-4096-v4-unit-t1","4096","4","unit","independent","dense","1","1","15","15","15","4096","0","0","0","16385","4096","49850E08"
"stable64","baseline","independent-4096-v4-unit-t1","4096","4","unit","independent","dense","1","1","187","187","187","4096","0","0","0","16385","4096","49850E08"
"stable64","baseline","independent-4096-v4-skewed-t0","4096","4","skewed","independent","dense","0","1","1421","1421","1421","4096","0","0","0","0","4096","7F5B7EBE"
"stable64","candidate","independent-4096-v4-skewed-t0","4096","4","skewed","independent","dense","0","1","16","16","16","4096","0","0","0","0","4096","7F5B7EBE"
"stable64","candidate","independent-4096-v4-skewed-t1","4096","4","skewed","independent","dense","1","1","0","0","0","4096","0","0","0","16385","4096","7F5B7EBE"
"stable64","baseline","independent-4096-v4-skewed-t1","4096","4","skewed","independent","dense","1","1","1343","1343","1343","4096","0","0","0","16385","4096","7F5B7EBE"
"stable64","baseline","independent-16384-v2-unit-t0","16384","2","unit","independent","dense","0","1","1281","1281","1281","16384","0","0","0","0","16384","677C1540"
"stable64","candidate","independent-16384-v2-unit-t0","16384","2","unit","independent","dense","0","1","31","31","31","16384","0","0","0","0","16384","677C1540"
"stable64","candidate","independent-16384-v2-unit-t1","16384","2","unit","independent","dense","1","1","15","15","15","16384","0","0","0","32769","16384","677C1540"
"stable64","baseline","independent-16384-v2-unit-t1","16384","2","unit","independent","dense","1","1","1297","1297","1297","16384","0","0","0","32769","16384","677C1540"
"stable64","baseline","independent-16384-v2-skewed-t0","16384","2","skewed","independent","dense","0","1","20797","20797","20797","16384","0","0","0","0","16384","4C57DF70"
"stable64","candidate","independent-16384-v2-skewed-t0","16384","2","skewed","independent","dense","0","1","31","31","31","16384","0","0","0","0","16384","4C57DF70"
"stable64","candidate","independent-16384-v2-skewed-t1","16384","2","skewed","independent","dense","1","1","31","31","31","16384","0","0","0","32769","16384","4C57DF70"
"stable64","baseline","independent-16384-v2-skewed-t1","16384","2","skewed","independent","dense","1","1","20829","20829","20829","16384","0","0","0","32769","16384","4C57DF70"
