rhythm_order,seed,status,rounds,pass_backtracks,decisions,propagations,contradictions,local_backtracks,composition,transcript
3,0,pass-limit,17,16,406,12275,153,236,,B1C8C299
3,1,pass-limit,17,16,403,12261,153,239,,3DEDBDB3
3,2,pass-limit,17,16,419,12265,153,237,,535486A1
3,3,pass-limit,17,16,456,12151,153,242,,61370643
3,4,pass-limit,17,16,417,12268,153,237,,1472A5EA
3,5,pass-limit,17,16,406,12240,153,237,,299F360B
3,6,pass-limit,17,16,419,12198,153,238,,65BFE5D3
3,7,pass-limit,17,16,433,12137,153,236,,9FF0B072
3,8,pass-limit,17,16,402,12312,153,239,,50CE11D9
3,9,pass-limit,17,16,403,12261,153,238,,A3436584
3,10,solved,5,4,81,3572,14,14,A56F9920,2BEE88ED
3,11,pass-limit,17,16,425,12164,153,241,,6DB4A346
3,12,pass-limit,17,16,388,12293,153,238,,5E087C41
3,13,pass-limit,17,16,420,12436,153,239,,529CC517
3,14,pass-limit,17,16,418,12278,153,238,,961C79A0
3,15,pass-limit,17,16,426,12154,153,237,,627659E3
16,0,solved,1,0,4,813,0,0,216F6EBB,EB08B65F
16,1,pass-limit,17,16,177,14514,81,88,,4458E01C
16,2,pass-limit,17,16,192,14375,81,89,,98D9A26B
16,3,pass-limit,17,16,198,14002,81,101,,D8EA9882
16,4,solved,3,2,14,2390,3,1,FB39D941,F93E5A21
16,5,pass-limit,17,16,196,14331,81,93,,D2F56FD9
16,6,solved,11,10,83,8907,35,33,85C331F1,48DCB457
16,7,solved,1,0,5,812,0,0,607B44CF,76B2A27D
16,8,pass-limit,17,16,171,14522,81,82,,135A811F
16,9,pass-limit,17,16,184,14461,81,92,,214A561C
16,10,pass-limit,17,16,193,13974,81,98,,7E3D2F6C
16,11,pass-limit,17,16,186,14267,81,87,,89E96B91
16,12,pass-limit,17,16,176,14527,81,86,,3E0A9F15
16,13,solved,5,4,28,3966,8,4,A277A0B6,6BB7CD73
16,14,solved,11,10,83,8918,35,31,BBF9ECA9,2824F1CF
16,15,solved,1,0,5,808,0,0,980E074D,C79D26C1
