"Case","Seed","Portal","RequireAllParticipants","RepairTo","MaxBacktracks","MaxPassBacktracks","CurrentExitCode","StableExitCode","ExactByteMatch","Signature","SvgBytes","SvgSHA256","WitnessCells","Participants","DisconnectedOptional","PassBacktracks"
"town","0","first","1","","4096","32","0","0","1","61943F3F","10562","46B8FD2C1D6993DC04ECCC0B0782ED466295910E5994F8BB95E1FE4F6CF0CAEA","13","19","0","0"
"town","0","first","0","","4096","32","0","0","1","4AC70412","10193","0CB9522EB6F88F7A7E93A26C78CC116E7A21FE6D2F7B1E15ED9D01A3792A5AD9","16","20","3","0"
"town","0","second","1","","4096","32","0","0","1","5C735E7A","10827","1EAFA641177ADEEC62567610584DE664AA645F369A3A40C21BDBF35484E5F34D","13","20","0","0"
"town","0","second","0","","4096","32","0","0","1","D9BA6100","9247","A307D4FD64ABBEE55694D3969B04E761B1B11EF9BF48C9912E4CFDE77A768583","13","18","5","0"
"town","0","both","1","","4096","32","0","0","1","F2D6F3AB","11088","E41CEB2DF3495504DC2DB512A0A9E2AE7030EE88302815B89B3DD632C9819BA6","13","21","0","0"
"town","0","both","0","","4096","32","0","0","1","6C152E20","9667","E7727AEB6D70B7B60BC8FDB98FE26B84240F550111EE9058ED576D3098D9418C","13","18","3","0"
"town","1","first","1","","4096","32","0","0","1","9FCF852C","9258","2310FF70679244A86F51D538C94FD7B13C9F95DD9645EFCF191808C0D9FBBBED","13","14","0","0"
"town","1","first","0","","4096","32","0","0","1","500C88C6","9042","B277DA9FB3374A54EFD62120B3FA8583729B348563B8CEB558DCCEB577ABD684","13","14","1","0"
"town","1","second","1","","4096","32","0","0","1","B4949DBF","9256","42056DB6DA3234170E0B4D09E54443DE1EF841ED89800CF0E917B80EE8B787DF","13","14","0","0"
"town","1","second","0","","4096","32","0","0","1","46F64CCD","9040","8DF344B2547EB1657B03BA79ACD41FD46E11D582C046CE55B1DF6946619850B0","13","14","1","0"
"town","1","both","1","","4096","32","0","0","1","49536F3A","9255","84C84A2F9A7A5ED1F6A6131067868E4E16B1BB9E253F3EF865F74EC8987A30F2","13","14","0","0"
"town","1","both","0","","4096","32","0","0","1","A560342C","9039","77354D5E51B7DF0DCCA4672343860DD4A55BD65EB21E1B0234F421797A4AA552","13","14","1","0"
"town","55","first","1","","4096","32","0","0","1","DD3656EA","10564","8252739690F732CC8E80138E8A1735C4CD256176BB2A89453BC64BE72F07E36E","13","19","0","0"
"town","55","first","0","","4096","32","0","0","1","50BA8F36","9618","75686F65D7C8E3051183F7ADA8090EC3E730DF56CE7F540C824B2AF8B78655C4","13","17","2","0"
"town","55","second","1","","4096","32","0","0","1","9DEDF310","10831","28221C2A4E09B38C0099E872A6ABBD9B889606A2D01817465B37822C96DB18CD","13","20","0","0"
"town","55","second","0","","4096","32","0","0","1","4161C786","9616","144B96686F9871AD7D3FC8EC7EC01509969BDF3AEBDA9C57A5743B1AC3E1351D","13","17","3","0"
"town","55","both","1","","4096","32","0","0","1","0C0BC3CF","11094","0283FBCF2092580C40C4966444FECB02C59F20757E3675C6735CEC92DE45AE8D","13","21","0","0"
"town","55","both","0","","4096","32","0","0","1","B92B5843","9617","665A9357CD85EEB095836BCAC002D55BFC36EF870FA9404264DC8A3C339D0EDB","13","17","3","0"
"town","4294967295","first","1","","4096","32","0","0","1","26FA65D8","9774","304A39774E3C59C332BDB15C39533E0A9F1AF57B7C4EB27CEB30E18A5E3DF51F","13","16","0","0"
"town","4294967295","first","0","","4096","32","0","0","1","0A5A44A5","9564","7DB3F1A0C48471487144BE540455CB1610FA28B55625B7556744A6CE94EE1DEB","13","16","1","0"
"town","4294967295","second","1","","4096","32","0","0","1","8449088D","10038","718E5B32436BD9FD4AA4D1474259978F6E8CF1BDAD143EE406146F5C403D3B59","13","17","0","0"
"town","4294967295","second","0","","4096","32","0","0","1","59AE30C4","9563","AC3BCCD134AA902F8AEB103596CEC43169EA2C3C30681993818054E3F0120849","13","16","1","0"
"town","4294967295","both","1","","4096","32","0","0","1","78249CB2","10036","283FA9B5621314AA4DDAD68713FEE6B0D581B6E88FAB42BA7810DA0625644ECD","13","17","0","0"
"town","4294967295","both","0","","4096","32","0","0","1","9044B4BE","9147","E3A24D163D5154B766E3FCA336813E9FCB0F4521F50583B29220E8FB3C0A23F0","13","16","3","0"
"town","0","first","1","second","4096","32","0","0","1","5C735E7A","10827","1EAFA641177ADEEC62567610584DE664AA645F369A3A40C21BDBF35484E5F34D","13","20","0","0"
"circulation","0","first","1","","4096","32","0","0","1","9F2CC7A4","11100","915374F6F66A69B5D89DD7ABCCE84885A8D9DE77F9E165DF37C67751F6DA7F97","10","18","0","0"
"circulation","0","first","0","","4096","32","0","0","1","78402815","10682","8F6C2203E0C8302D8F49008EC8B0C3B65C8EA2F415B28EEF433C3AC3BF8B072A","10","18","2","0"
"circulation","0","second","1","","4096","32","0","0","1","47E47400","12418","725DA7E565E263EC11064DB578AB224085241EC3CB202440313368787F764EE1","10","23","0","0"
"circulation","0","second","0","","4096","32","0","0","1","7506C41C","9574","ADEF12B34A95BD95086F89B4BBD38C87F85445BE008EBE4D492C9302900AC350","10","17","7","0"
"circulation","0","both","1","","4096","32","0","0","1","9B50CE18","10565","A54CD337075135B3B0152F519134C11D2C4244C80031388C2B40E2BA9EF4AE45","10","16","0","0"
